keys,de,en,tr
EREIGNIS_FASS_START,Ein Fass ist kaputt — eine Sorte gibt es heute nicht.,A keg is broken — one kind of beer is off today.,Bir fıçı bozuk — bugün bir çeşit bira yok.
EREIGNIS_PROSIT_TITEL,Prosit-Tag,Prosit day,Prosit günü
EREIGNIS_PROSIT_START,Heute spielt die Kapelle „Ein Prosit“ — dann bestellen alle auf einmal!,Today the band plays “Ein Prosit” — then everyone orders at once!,Bugün bando “Ein Prosit” çalıyor — o an herkes aynı anda sipariş verir!
MSG_PROSIT,Ein Prosit! Alle wollen jetzt Bier!,Ein Prosit! Everyone wants beer now!,Ein Prosit! Herkes şimdi bira istiyor!
MSG_SCHLAEGEREI_START,"Massenschlägerei! Raufbolde mit E rauswerfen, bevor die Beliebtheit leidet!","Mass brawl! Throw brawlers out with E before popularity suffers!","Toplu kavga! Popülerlik düşmeden kavgacıları E ile dışarı at!"
MSG_EINZELSTREIT_START,"Zwei Gäste prügeln sich — mit E rauswerfen!","Two guests are fighting — throw them out with E!","İki misafir kavga ediyor — E ile dışarı at!"
MSG_SCHLAEGEREI_ENDE,"Schlägerei vorbei — %d rausgeworfen, Beliebtheit −%d %%","Brawl over — %d thrown out, popularity −%d %%","Kavga bitti — %d kişi dışarı atıldı, popülerlik −%%%d"
EREIGNIS_PROMI_TITEL,Promi im Zelt,Celebrity in the tent,Çadırda ünlü
EREIGNIS_PROMI_START,Ein Promi feiert heute im Zelt — doppeltes Trinkgeld!,A celebrity is partying in the tent today — double tips!,Bugün çadırda bir ünlü eğleniyor — çift bahşiş!
HINT_TAKE_MUG,{interact} Krug nehmen,{interact} Take a mug,{interact} Kupa al
HINT_TAKE_ANOTHER,{interact} Noch einen Krug nehmen (bis zu 3),{interact} Take another mug (up to 3),{interact} Bir kupa daha al (en fazla 3)
HINT_TAP,{interact} halten: zapfen,Hold {interact}: pour,{interact} basılı tut: doldur
HINT_NEED_MUG,Erst einen Krug nehmen,Grab a mug first,Önce bir kupa al
HINT_SERVE,{interact} Gast bedienen,{interact} Serve guest,{interact} Misafire servis yap
HINT_WRONG_ORDER,Der Gast möchte etwas anderes,The guest wants something else,Misafir başka bir şey istiyor
HINT_COOK,{interact} halten: zubereiten,Hold {interact}: prepare,{interact} basılı tut: hazırla
HINT_PICKUP,{interact} Paket aufnehmen,{interact} Pick up package,{interact} Paketi al
HINT_RAUSWERFEN,{interact} Raufbold rauswerfen,{interact} Throw the brawler out,{interact} Kavgacıyı dışarı at
HINT_STORE,{interact} Paket einlagern,{interact} Store package,{interact} Paketi depola
HINT_STORAGE,Lager — Pakete hierher bringen,Storage — bring packages here,Depo — paketleri buraya getir
HINT_OFFICE,{interact} Wiesenbüro öffnen,{interact} Open Fair Office,{interact} Fuar Ofisini aç
HINT_OFFICE_SHIFT,Wiesenbüro öffnet nach Feierabend,The Fair Office opens after closing time,Fuar Ofisi kapanıştan sonra açılır
HINT_SLEEP,{interact} Schlafen — neuer Tag,{interact} Sleep — next day,{interact} Uyu — yeni gün
HINT_SLEEP_SHIFT,Schlafen erst nach Feierabend,You can sleep after closing time,Kapanıştan sonra uyuyabilirsin
HINT_MOVE_TABLE,{interact} Tisch verschieben,{interact} Move table,{interact} Masayı taşı
HINT_COMPUTER,{interact} Zelt-Computer,{interact} Tent computer,{interact} Çadır bilgisayarı
HINT_CLEAN,{interact} halten: putzen,Hold {interact}: clean,{interact} basılı tut: temizle
OFFICE_TITLE,Wiesenbüro,Fair Office,Fuar Ofisi
OFFICE_TAB_TENT,Zelt,Tent,Çadır
OFFICE_TAB_LICENSES,Lizenzen,Licenses,Lisanslar
OFFICE_TAB_STAFF,Personal,Staff,Personel
OFFICE_TAB_ACTS,Künstler,Acts,Sanatçılar
OFFICE_TAB_GOODS,Ware,Supplies,Malzeme
OFFICE_TAB_REPORT,Bilanz,Report,Bilanço
OFFICE_CLOSE,Schließen (Esc),Close (Esc),Kapat (Esc)
OFFICE_STATUS,%s · Tische %d/%d · %d Plätze · Miete %s pro Tag,%s · Tables %d/%d · %d seats · Rent %s per day,%s · Masa %d/%d · %d koltuk · Günlük kira %s
TENT_STAGE_0,Kein Zelt,No tent,Çadır yok
TENT_STAGE_1,Kleines Zelt,Small tent,Küçük çadır
TENT_STAGE_2,Mittleres Zelt,Medium tent,Orta çadır
TENT_STAGE_3,Großes Zelt,Large tent,Büyük çadır
TENT_STAGE_4,Riesenzelt,Huge tent,Dev çadır
WORLD_TOILET,WC,WC,WC
WORLD_BUERO,Büro,Office,Ofis
RENT_DIALOG_TITLE,Festzelt mieten,Rent a beer tent,Bira çadırı kirala
RENT_DIALOG_INFO,Das Festzelt kostet einmalig %s. Die ersten 5 Tage zahlst du keine Miete.,The beer tent costs %s once. You pay no rent for the first 5 days.,Bira çadırı bir kereliğine %s. İlk 5 gün kira ödemezsin.
RENT_DIALOG_NAME,Wie soll dein Zelt heißen?,What should your tent be called?,Çadırının adı ne olsun?
RENT_DIALOG_PLACEHOLDER,z. B. Zum Durstigen Hirsch,e.g. The Thirsty Stag,örn. Susamış Geyik
RENT_DIALOG_CONFIRM,Mieten · %s,Rent · %s,Kirala · %s
RENT_DIALOG_CANCEL,Abbrechen,Cancel,Vazgeç
TENT_NAME_DEFAULT,Festzelt,Beer Tent,Bira Çadırı
PLAYER_N,Spieler %d,Player %d,Oyuncu %d
LOBBY_TITLE,Willkommen im Festzelt!,Welcome to the beer tent!,Bira çadırına hoş geldin!
LOBBY_SUB,"Ihr führt das Zelt gemeinsam: zapfen, kochen, putzen, Ware schleppen — und jeder darf im Wiesenbüro einkaufen und Personal einstellen.","You run the tent together: pour, cook, clean, haul supplies — and everyone may buy at the fair office and hire staff.","Çadırı birlikte işletiyorsunuz: bira doldurun, pişirin, temizleyin, malzeme taşıyın — ve herkes fuar ofisinden alışveriş yapıp personel alabilir."
LOBBY_NAME,Dein Name,Your name,Adın
LOBBY_NAME_PLACEHOLDER,z. B. Wiesn-Sepp,e.g. Beer Baron,örn. Bira Baronu
LOBBY_COLOR,Namensfarbe,Name colour,İsim rengi
LOBBY_ALONE,Du bist bisher allein im Zelt.,You are alone in the tent so far.,Şimdilik çadırda yalnızsın.
LOBBY_OTHERS,Schon dabei: %s,Already here: %s,Şimdiden burada: %s
LOBBY_HOWTO_TITLE,So spielt ihr,How to play,Nasıl oynanır
LOBBY_HOWTO,"1. Wiesenbüro: Zelt mieten und taufen, Tische aufstellen, Bier bestellen.\n2. Um 8 Uhr kommen die Gäste. Jeder packt dort an, wo es gerade brennt.\n3. Um 22 Uhr ist Feierabend: im Wohnwagen schlafen — alle stimmen ab, die Mehrheit startet den nächsten Tag.\n{help} zeigt jederzeit die Hilfe.","1. Fair office: rent and name your tent, set up tables, order beer.\n2. Guests arrive at 8:00. Everyone jumps in wherever it gets busy.\n3. Closing time is 22:00: sleep in the caravan — everyone votes, the majority starts the next day.\n{help} shows the help at any time.","1. Fuar ofisi: çadırı kirala ve adlandır, masa kur, bira sipariş et.\n2. Misafirler 8:00'de gelir. Herkes yoğunluk olan yere yardım eder.\n3. Kapanış 22:00: karavanda uyu — herkes oy verir, çoğunluk sonraki günü başlatır.\n{help} her zaman yardımı gösterir."
LOBBY_GO,Start,Start,Başla
VOTE_TITLE,Feierabend?,Call it a night?,Paydos mu?
VOTE_TEXT,%s will schlafen gehen und den nächsten Tag starten.,%s wants to go to bed and start the next day.,%s yatmak ve sonraki günü başlatmak istiyor.
VOTE_COUNT,Ja %d · Nein %d · %d Spieler · noch %d s,Yes %d · No %d · %d players · %d s left,Evet %d · Hayır %d · %d oyuncu · %d sn kaldı
VOTE_YES,Ja,Yes,Evet
VOTE_NO,"Nein, noch eine Maß","No, one more round","Hayır, bir kupa daha"
VOTE_DONE,Abgestimmt — warte auf die anderen …,Voted — waiting for the others …,Oy verildi — diğerleri bekleniyor …
MSG_VOTE_STARTED,%s will schlafen gehen — stimmt ab!,%s wants to go to bed — vote now!,%s yatmak istiyor — oy verin!
MSG_VOTE_YES,Mehrheit dafür (%d von %d) — gute Nacht!,Majority agrees (%d of %d) — good night!,Çoğunluk kabul etti (%d / %d) — iyi geceler!
MSG_VOTE_NO,Keine Mehrheit (%d von %d) — es wird weitergefeiert!,No majority (%d of %d) — the party goes on!,Çoğunluk yok (%d / %d) — parti devam!
WORLD_MESS,Putzen ({interact}),Clean up ({interact}),Temizle ({interact})
WORLD_PACKAGE_1,"Bierfass ×%d\n({interact}: aufnehmen)","Beer keg ×%d\n({interact}: pick up)","Bira fıçısı ×%d\n({interact}: al)"
WORLD_PACKAGE_2,"Zutaten ×%d\n({interact}: aufnehmen)","Ingredients ×%d\n({interact}: pick up)","Malzemeler ×%d\n({interact}: al)"
OFFER_TENT_RENT,Zelt mieten,Rent a tent,Çadır kirala
OFFER_TENT_RENT_INFO,Dein eigenes Festzelt. Ohne Zelt keine Gäste. Die ersten 5 Tage ohne Miete.,"Your own beer tent. No tent, no guests. No rent for the first 5 days.",Kendi bira çadırın. Çadır yoksa misafir de yok. İlk 5 gün kira yok.
HINT_RENT_TENT,{interact} Festzelt mieten,{interact} Rent the beer tent,{interact} Bira çadırını kirala
SIGN_TENT_FOR_RENT,ZU VERMIETEN,FOR RENT,KİRALIK
SIGN_TENT_PRICE,Festzelt · %s,Beer tent · %s,Bira çadırı · %s
OFFER_TABLE,Tisch aufstellen,Place a table,Masa koy
OFFER_TABLE_INFO,Jeder Tisch hat 6 Plätze · aufgestellt: %d von %d,Each table seats 6 · placed: %d of %d,Her masa 6 kişilik · kurulu: %d / %d
OFFER_TABLE_SELL,Tisch verkaufen,Sell a table,Masa sat
OFFER_TABLE_SELL_INFO,Du bekommst die Hälfte zurück.,You get half the price back.,Fiyatın yarısını geri alırsın.
OFFER_TENT_UPGRADE,Zelt vergrößern,Enlarge tent,Çadırı büyüt
OFFER_TENT_UPGRADE_INFO,"Nächste Stufe: %s, bis zu %d Tische","Next: %s, up to %d tables","Sonraki: %s, en fazla %d masa"
OFFER_TOILET,Toilette einbauen,Install a toilet,Tuvalet kur
OFFER_TOILET_INFO,Sonst pinkeln Gäste in die Ecke und beschweren sich.,Otherwise guests pee in the corner and complain.,Yoksa misafirler köşeye işer ve şikâyet eder.
OFFER_MARKETING,Werbung,Advertising,Reklam
OFFER_MARKETING_INFO,Stufe %d · sofort +%d %% Beliebtheit,Level %d · instantly +%d %% popularity,Seviye %d · anında +%%%d popülerlik
